| Nombre | Modelo | DESCRIPCION | PRECIO |
| Adaptador N Macho a F Hembra | TT-CON-540 | ADAPTADOR N MACHO A F HEMBRA , NIQUEL/ ORO/ TEFLÓN, | 72.99 |
| Jumper LMR400 1.5m N Macho a N Macho | SN-400-N-150T | JUMPER CON CABLE LMR400 CON CONECTORES N MACHO / N MACHO DE 1.5 METROS. | 843.83 |
| Cámara Bala IP 2MP Dual Light AcuSense Lite | DS-2CD1023G2-LIU | BALA IP 2 MEGAPIXEL / LENTE 2.8 MM / DUAL LIGHT (30 MTS IR + 20 MTS LUZ BLANCA) / MICRÓFONO INTEGRADO / ACUSENSE LITE / EXTERIOR IP67 / H.265+ / POE / ONVIF | 1405.37 |
| Cremallera de 2 Metros para Motores Módulo 4 | 1140-0510-001 | CREMALLERA DE 2 METROS DE LONGITUD / PARA MOTORES CON PIÑON DE MODULO 4 | 740.00 |
| Controlador de Acceso 2 Puertas 4 Lectores Hikvision | DS-K2602T | CONTROLADOR DE ACCESO / 2 PUERTA / 4 LECTORES DE HUELLA Y TARJETAS / INTEGRACIÓN CON VIDEO / 100,000 TARJETAS / INCLUYE GABINETE Y FUENTE DE ALIMENTACIÓN 12VCC/8A / SOPORTA BATERÍA DE RESPALDO | 8808.69 |
| Enrolador USB de Huellas para IVMS-4200 y HikCentral | DS-K1F820-F | ENROLADOR USB DE HUELLAS PARA IVMS-4200 Y HIKCENTRAL / FACILITA EL ALTA DE HUELLAS AL SOFTWARE / CONEXIÓN USB / SDK GRATUITO PARA DESARROLLOS PROPIOS | 2317.67 |
| Tarjeta para Control de Eslusas 2 Puertas | RXC02 | TARJETA PARA CONTROL DE ESCLUSAS PARA 2 PUERTAS CON TEMPORIZADOR EN DESBLOQUEO Y BLOQUEO/ ENTRADA PARA BOTÓN DE EMERGENCIA/ SALIDA DE EMERGENCIA. | 1890.00 |
| Cámara Domo IP 2MP Dual Light AcuSense Lite Antivandálico | DS-2CD1123G2-LIU(F) | DOMO IP 2 MEGAPIXEL / LENTE 2.8 MM / DUAL LIGHT (30 MTS IR + 20 MTS LUZ BLANCA) / MICRÓFONO INTEGRADO / ANTIVANDÁLICO IK08 / ACUSENSE LITE / EXTERIOR IP67 / H.265 / POE / ONVIF / MICRO SD | 1844.83 |
| Gabinete para Montaje en Pared Liviano 4U | LPWR50304U | GABINETE PARA MONTAJE EN Pared LIVIANO, 4 UNIDADES DE RACK, PROFUNDIDAD MÁXIMA DE TRABAJO 250 MM | 2330.00 |
| Pulsera para Botón de Pánico Portátil | DS-PDEBP2-EG2-WB/BAND | PULSERA PARA BOTÓN DE PÁNICO PORTÁTIL / COMPATIBLE CON DS-PDEBP1-EG2-WB Y DS-PDEBP2-EG2-WB | 199.00 |
| Cámara Domo IP 6MP Dual Light AcuSense Lite Antivandálico | DS-2CD1163G2-LIUF | DOMO IP 6 MEGAPIXEL / LENTE 2.8 MM / DUAL LIGHT (30 MTS IR + 30 MTS LUZ BLANCA) / MICRÓFONO INTEGRADO / ANTIVANDÁLICO IK08 / ACUSENSE LITE / EXTERIOR IP67 / H.265 / POE / ONVIF / MICRO SD | 2538.95 |
| Tubo Conduit 1/2" Pared Gruesa 3m Galvanizado | JU-PG-12-TUB | TUBO CONDUIT 1/2" PARED GRUESA (13MM) X 3 METROS , GALVANIZADO, ETIQUETA AMARILLA, CALIBRE 16 (INCLUYE 1 COPLE). | 276.00 |
| Caja de Conexiones Exterior para Cámaras Bala IP66 | DS-1260ZJ | CAJA DE CONEXIONES DE EXTERIOR PARA CÁMARAS TIPO BALA / IP66 | 212.75 |
| Cople 1/2" Pared Delgada Galvanizado | COPLE12SL | COPLE 1/2" (13MM) PARED DELGADA CON TORNILLO (TIPO AMERICANO) GALVANIZADO | 9.45 |
| Caja Cuadrada Galvanizada 1/2" | CAJA1/2 | CAJA CUADRADA GALVANIZADA DE 1/2'' | 9.72 |
| Caja Chalupe Galvanizada | 02-916 | CAJA CHALUPA GALVANIZADA | 6.36 |
| Codo de 90° 3/4" Pared Delgada Galvanizado | JU-PD-34-COD | CODO DE 90° 3/4" (19MM) PARED DELGADA GALVANIZADO | 73.28 |
| Caja Chalupe Galvanizada 3/4 | CAJA3/4 | CAJA CHALUPA GALVANIZADA 3/4 | 16.92 |
| Codo de 90° de 1" Pared Delgada Galvanizado | JU-PD-100-COD | CODO DE 90° DE 1" (25MM) PARED DELGADA GALVANIZADO | 133.83 |
| Cople 1" Pared Delgada Galvanizado | JU-PD-100-COP | COPLE 1" (25MM) PARED DELGADA CON TORNILLO (TIPO AMERICANO) GALVANIZADO | 64.63 |
| Caja Chalupe Galvanizada 1" | CAJA 1" | CAJA CHALUPA GALVANIZADA 1" | 35.03 |
| Tubo Conduit 2" x 3m Pared Delgada Galvanizado | JU-PD-200-TUB | TUBO CONDUIT 2" (52MM) X 3 METROS PARED DELGADA SIN COPLE GALVANIZADO SIN ROSCA ETIQUETA VERDE, CALIBRE 16O | 616.04 |
| Codo de 90° de 2" Pared Delgada Galvanizado | JU-PD-200-COD | CODO DE 90° DE 2" (52MM) PARED DELGADA GALVANIZADO | 277.56 |
| Conector 2" Pared Delgada Galvanizado | JU-PD-200-CON | CONECTOR 2" (52MM) PARED DELGADA CON TORNILLO GALVANIZADO | 96.84 |
| Cople 2" Pared Delgada Galvanizado | JU-PD-200-COP | COPLE 2" (52MM) CON TORNILLO PARED DELGADA GALVANIZADO | 95.46 |
| Caja Chalupe Galvanizada 2" | CAJA2" | CAJA CHALUPA GALVANIZADA 2" | 167.76 |
| Cerradura Chapa Alta Seguridad X-1000 Cromo | CERRAX-1000 | CERRADURA CHAPA ALTA SEGURIDAD X-1000 CROMO TETRA PHILLIPS | 493.75 |
| Conector Jack RJ45 Estilo TG Cat6 Rojo | CJ688TGRD | CONECTOR JACK RJ45 ESTILO TG, MINI-COM, CATEGORÍA 6, DE 8 POSICIONES Y 8 CABLES, COLOR ROJO | 295.00 |
| Cerradura de Pernos 2000 kg Fail Safe con Temporizador | PROEB600NCK | CERRADURA DE PERNO 2000 KG DE SUJECIÓN/ CERRADA EN CASO DE FALLA (FAIL SAFE)/ CON TEMPORIZADOR Y SENSOR DE PUERTA | 3351.29 |
| Placa de Pared Vertical Ejecutiva 2 Puertos | CFPE2WHY | PLACA DE PARED VERTICAL EJECUTIVA, SALIDA PARA 2 PUERTOS MINI-COM, CON ESPACIOS PARA ETIQUETAS, COLOR BLANCO | 121.11 |
| Cerradura de Pernos 2000 kg Fail Safe | PROEB620 | CERRADURA DE PERNO 2000 KG DE SUJECIÓN/ CERRADA EN CASO DE FALLA (FAIL SAFE)/ CON TEMPORIZADOR Y SENSOR DE PUERTA | 2710.32 |
| Varilla Roscada 1/4" x 3000mm Electro Zinc | CH-VR-6-3000 | VARILLA ROSCADA DE 1/4" X 3000MM, CON ACABADO ELECTRO ZINC | 140.00 |
| Switch Gigabit POE+ Administrable 16+2 Puertos | DS-3E1518P-SI | SWITCH GIGABIT POE+ / ADMINISTRABLE / 16 PUERTOS 1000 MBPS POE+ / 2 PUERTOS SFP / CONFIGURACIÓN REMOTA DESDE HIK-PARNERPRO / POE HASTA 300 METROS / 225 WATTS | 8765.04 |
| Bobina Cable CAT6 Exterior 305m 24 AWG Negro | PRO-CAT-6-EXT-LITES | BOBINA DE CABLE 305 METROS CAT6, 24 AWG, CLIMAS EXTREMOS, COLOR NEGRO, SIN BLINDAR, PARA INTEMPERIE | 4845.00 |
| Metro de Cable Telefónico RJ11 | CABTEL | METRO DE CABLE TELEFÓNICO RJ11 | 21.00 |
| Varilla de Acero con Recubrimiento de Cobre 5/8" x 1m | TG-VAR-1058 | VARILLA DE ACERO CON RECUBRIMIENTO DE COBRE DIÁMETRO 5/8" DE 1 M DE LARGO | 690.00 |
| Conector Varilla a Cable 1/0 AWG | TG-SC | CONECTOR VARILLA (MÁXIMO 3/4") A CABLE 1/0 AWG. | 216.34 |
| Pieza de Montaje para Cerradura Magnética Hikvision | PZADS-K4H258-L/Z | PZA DE MONTAJE PARA CERRADURA MAGNÉTICA HIKVISION / COMPATIBLE CON DS-K4H258S / USO EN PUERTA DE MADERA Y METAL | 250.00 |
| Adaptador Ethernet Starlink V2 | ADAPTADORSTARLINK | STARLINK ETHERNET ADAPTADOR SATÉLITE INTERNET V2 PARA PLATO RECTANGULAR | 990.00 |
| Kit de Internet Satelital Starlink Estándar | ANTENASTARLINK | KIT DE INTERNET SATELITAL STARLINK ESTÁNDAR KIT STARLINK DE SPACEX: INTERNET SATELITAL DE ALTA VELOCIDAD Y BAJA LATENCIA - AUTOINSTALABLE Y LISTO EN MINUTOS | 6500.00 |
| Access Point Exterior WiFi 6 IP68 Ruijie | RG-RAP6262 | ACCESS POINT EXTERIOR IP68, WI-FI 6 (802.11AX), 360 GRADOS, MU-MIMO2X2, HASTA 256 CLIENTES | 5132.88 |
| Cable UTP CAT6 Exterior por Metro | CABUTP4P | CABLE UTP DE 4 PARES, PARA EXTERIOR CON GEL, CAT6 (23 AWG), INDUSTRIAL PARA CLIMAS EXTREMOS, ENTERRADO DIRECTO, COLOR NEGRO. | 29.00 |
| Cámara Turret IP 6MP AcuSense 30m IR | DS-2CD2363G2-I(U) | TURRET IP 6 MEGAPIXEL / LENTE 2.8 MM / 30 MTS IR EXIR /EXTERIOR IP66 / WDR 120 DB / POE / ACUSENSE (EVITA FALSAS ALARMAS) / MICRÓFONO INTEGRADO / METAL / MICROSD / ONVIF / ACUSEARCH | 2457.24 |
| Cámara Domo IP 4MP Dual Light AcuSense Lite | DS-2CD1343G2-LIUF | DOMO IP 4 MEGAPIXEL / LENTE 2.8 MM / DUAL LIGHT (30 MTS IR + 30 MTS LUZ BLANCA) / MICRÓFONO INTEGRADO / ACUSENSE LITE / EXTERIOR IP67 / H.265 / POE / ONVIF / MICRO SD | 1895.38 |
| Protector de Policarbonato Súper Resistente | STI-6519-ES | PROTECTOR DE POLICARBONATO SÚPER RESISTENTE, PARA MÚLTIPLES APLICACIONES, TEXTO EN ESPAÑOL | 682.59 |
| Multímetro Digital de Gancho DT266 | DT266KIT | MULTÍMETRO DIGITAL DE GANCHO DT266 600 VCC / VCA CATII. CON PANTALLA LCD. INCLUYE BATERÍA ER-9V DE 9V | 1183.76 |
| Kit de 4 Soportes de Plástico para Tablilla PCB | KITRS6 | KIT DE 4 SOPORTES DE PLÁSTICO PARA TABLILLA PCB EN POSTES PARA CHASIS. | 30.54 |
| Kit IP 4MP NVR 4 Canales 4 Cámaras y Disco 1TB | KHL4B/1TB | KIT IP 4 MEGAPIXEL / NVR DE 4 CANALES / 4 CÁMARAS IP / BOBINA DE CABLE DE 100 MTS / DISCO DURO 1 TB | 12500.00 |
| Día de Trabajo Operativo en Campo (8 Horas) | DIAOPERA2T | DIA DE TRABAJO OPERATIVO EN CAMPO INCLUYE HERRAMIENTAS, TRASLADOS, UNIFORME, SEGURO DE IMSS, TENCNICO CERTIFICADO Y SU AUXILIAR. (8 HORAS LABORALES POR DIA) | 2950.00 |
| Cámara Turret TurboHD 2MP ColorVu 24/7 | DS-2CE70DF0T-MF | TURRET TURBOHD 2 MEGAPIXEL (1080P) / IMAGEN A COLOR 24/7 (COLORVU) / LENTE 2.8 MM / METAL / LUZ BLANCA 20 MTS / EXTERIOR IP67 / TVI-AHD-CVI-CVBS / DWDR | 997.00 |
| Controles New SAW, SEG, PPA, DigiSeg de Visera | CONTNEW | CONTROLES NEW SAW, MARCA SEG, PPA, DIGISEG DE VISERA | 780.00 |
| Teléfono Programador Panasonic | KX-T7730 | TELÉFONO PROGRAMADOR PANASONIC | 2700.00 |
| Sellador Elástico Sika 1A 300 ml Negro | SIKA1A | SIKA SELLADOR ELÁSTICO POLIURETANO SIKAFLEX 1A 300 ML COLOR NEGRO | 335.00 |
| NVR 8 Canales 4K con AcuSense y Reconocimiento Facial 8 POE+ | DS-7608NXI-K2/8P | NVR 12 MEGAPIXEL (4K) / 8 CANALES IP / 8 PUERTOS POE+ / ACUSENSE (EVITA FALSAS ALARMAS) / RECONOCIMIENTO FACIAL / 2 BAHÍAS DE DISCO DURO / HDMI EN 4K / ALARMAS I/O / 300 METROS POE MODO EXTENDIDO | 6710.00 |
| Mini Caja de Piso Rectangular para Datos 3 Puertos | TH-MC-PD | MINI CAJA DE PISO RECTANGULAR PARA DATOS Y CONECTORES TIPO KEYSTONE, COLOR Y MATERIAL EN ACERO INOXIDABLE (3 PUERTOS | 1400.00 |
| Placa de Pared Vertical para 2 Puertos Keystone Blanca | NK2FNWH | PLACA DE PARED VERTICAL, SALIDA PARA 2 PUERTOS KEYSTONE, COLOR BLANCO | 42.00 |
| Conector Jack Keystone CAT6 Blanco | NK688MWH | CONECTOR JACK ESTILO 110 (DE IMPACTO), TIPO KEYSTONE, CATEGORÍA 6, DE 8 POSICIONES Y 8 CABLES, COLOR BLANCO | 153.62 |
| Placa de Pared Vertical para 1 Puerto Keystone con Etiquetas | NK1FWHY | PLACA DE PARED VERTICAL, SALIDA PARA 1 PUERTO KEYSTONE, CON ESPACIOS PARA ETIQUETAS, COLOR BLANCO | 69.56 |
| Medio Día de Trabajo Operativo en Campo (4 Horas) | MEDDIAOPERA1 | MEDIO DIA DE TRABAJO OPERATIVO EN CAMPO INCLUYE HERRAMIENTAS, TRASLADOS, UNIFORME, SEGURO DE IMSS, TENCNICO CERTIFICADO Y SU AUXILIAR. (4 HORAS LABORALES POR DIA) | 1475.00 |
| Bobina de Cable para Alarma 6 Hilos Sólido Blanco | CMX-3003875 | BOBINA DE CABLE PARA ALARMA Y SEGURIDAD DE 6HILOS, SOLIDO BLANCO | 3200.00 |
| Detector PIR Tipo Cortina Cableado 15m | DS-PDC15-EG2 | DETECTOR PIR TIPO CORTINA CABLEADO PARA INTERIOR / RANGO DE DETECCIÓN DE 15 MTS / ANGULO DE 6.3° DE COBERTURA | 490.00 |
| Hilo de Rafia (1kg) Blanco | RAF-445 | HILO DE RAFIA (1KG) COLOR BLANCO | 215.00 |
| Navegador Satelital InReach Mini con Cobertura Global | 10-01879-01 | NAVEGADOR SATELITAL INREACH MINI, CON COBERTURA GLOBAL MEDIANTE LA RED IRIDIUM, CUENTA CON BOTÓN DE EMERGENCIA, BATERÍA PARA HASTA 50 HORAS, GPS Y BRUJULA. | 6017552.95 |
| Mantenimiento Preventivo a Radio Portátil ICF4003 5W | MTTOICF4003 | MANTENIMIENTO PREVENTIVO GENERAL A RADIOS PORTATILES (ICF4003) 5W LIMPIEZA Y AJUSTE | 220.00 |
| Mantenimiento Preventivo a Radio Móvil ICF4003 50W | ICFMTTO2 | MANTENIMIENTO PREVENTIVO GRAL A RADIOS ICF4003 MOVILES DE GRUA 50W LIMPIEZA Y AJUSTE | 220.00 |
| Mantenimiento Preventivo a Radio Base ICF4003 5W | ICFMTTO3 | SERVICIO DE MANTENIMIENTO PREVENTIVO GRAL, LIMPIEZA Y AJUSTE A RADIOS ICF4003 BASE DE CASETA 5W RADIOS | 220.00 |
| Terminal Facial Min Moe WiFi con Huella y MIFARE | DS-K1T321MFWX | TERMINAL FACIAL MIN MOE WIFI ADMINISTRABLE POR SMARTPHONE O NUBE / ACCESO Y ASISTENCIA /500 ROSTROS Y LECTOR DE TARJETAS MIFARE / 3,000 HUELLAS / 3,000 TARJETAS | 3305.50 |
| Botón Sin Contacto Acero Inoxidable con LED | DS-K7P07 | BOTÓN SIN CONTACTO / INDICADOR LED / NO / NC / INTERIOR / ACERO INOXIDABLE | 452.71 |
| Pila 9V 1200 mAh Alta Capacidad | ER-9V | PILA 9V @ 1200 MAH / ALTA CAPACIDAD ( NO RECARGABLE ) | 250.00 |
| Cámara Web HD 1080p 360° con Micrófono | DS-U02 | CÁMARA WEB ALTA DENIFICIÓN (1080P) / GIRO 360° / GRAN ANGULAR / MICRÓFONO INTEGRADO / CONECTOR USB DE 2 MTS / FÁCIL DE INSTALAR / REDUCCIÓN DE RUIDO INTELIGENTE | 508.63 |
| Detector de Humo Fotoeléctrico No Direccionable 4 Hilos | DS-PDSMK-4 | DETECTOR DE HUMO FOTOELÉCTRICO NO DIRECCIONABLE DE 4 HILOS / IDEAL PARA CUALQUIER PANEL DE ALARMA CABLEADO / INDICADORES LED | 580.00 |
| Kit de Barrera Vehicular Izquierda y Brazo 4m | KT-XBF-4ML | KIT DE BARRERA VEHICULAR IZQUIERDA Y BRAZO DE HASTA 4 METROS / TIEMPO DE APERTURA 3 SEGUNDOS | 17059.65 |
| Caja Oval Rosca Tipo T de 1 1/2" | OT-0077C | CAJA OVAL ROSCADA TIPO T DE 1 1/2" (38.1 MM) INCLUYE TAPA Y TORNILLOS. | 286.00 |
| Reducción Bushing Aluminio 1 1/2" a 3/4" | RBA3819 | REDUCCIÓN BUSHING DE 1 1/2" - 3/4" DE ALUMINIO PARA TUBO CONDUIT | 44.97 |
| Reducción Bushing Aluminio 1 1/2" a 1" | RBA-3825 | REDUCCIÓN BUSHING ALUMINIO DE 1 1/2" A 1" PARA TUBO CONDUIT RÍGIDO Ó IMC. | 36.50 |
| Reducción Bushing Aluminio 1" a 3/4" | RBA-2519 | REDUCCIÓN BUSHING ALUMINIO DE 1" A 3/4" PARA TUBO CONDUIT | 22.03 |
| Abrazadera Unicanal para Conduit Pared Delgada 3/4" | ANC-AW-34 | ABRAZADERA UNICANAL PARA CONDUIT PARED DELGADA DE 3/4" (19 MM).r | 14.81 |
| Control Remoto de 1 Botón para ACCESK1LTR | ACCESS807M | CONTROL REMOTO DE 1 BOTÓN / COMPATIBLE CON ACCESK1LTR Y ACCESSK4DTR | 134.95 |
| Home Router Inalámbrico Mesh WiFi 6 Ruijie | RG-EW1800GXPRO | HOME ROUTER INALÁMBRICO MESH WI-FI 6 MU-MIMO 2X2, 1 PUERTO WAN GIGABIT Y 4 PUERTOS LAN | 1852.50 |
| Home Router Inalámbrico WiFi 5 Ruijie | RG-EW1200 | HOME ROUTER INALAMBRICO WI-FI5 DOBLE BANDA, 1 PUERTO WAN 10/100 Y 3 PUERTOS LAN 10/100 HASTA 1,200 MBPS | 1045.00 |
| Cámara Bala IP 3MP WiFi con Audio Bidireccional | CS-C3TN-3MP | BALA IP 3 MEGAPÍXEL / WI-FI / AUDIO DE DOS VÍAS / VISIÓN NOCTURNA EN COLOR / SIRENA / ESTROBO / DETECCIÓN DE MOVIMIENTO / NOTIFICACIÓN PUSH / RANURA PARA MEMORIA / USO EN EXTERIOR | 2165.00 |
| Cámara Turret TurboHD 1080P ColorVu Lite con Audio por Coaxitron | THC-T129-PS | AUDIO POR COAXITRON / TURRET TURBOHD 1080P / IMAGEN A COLOR 24/7 / LENTE 2.8 MM / COLORVU LITE / LUZ BLANCA 20 MTS / USO INTERIOR / POLICARBONATO | 775.00 |
| NVR 32 Canales 4K con Reconocimiento Facial 16 POE+ | DS-7732NXI-K4/16P | NVR 12 MEGAPIXEL (4K) / 32 CANALES IP / 16 PUERTOS POE+ / RECONOCIMIENTO FACIAL / ACUSENSE (EVITA FALSAS ALARMAS) / 4 BAHÍAS DE DISCO DURO / SWITCH POE 300 MTS / HDMI EN 4K / ALARMAS I/O | 10715.04 |
| Switch POE+ No Administrable 16+2+2 Puertos 225W | DS-3E0520HP-E | SWITCH POE+ / NO ADMINISTRABLE / 16 PUERTOS 100 MBPS POE+ (4 PUERTOS POE++ 90 W) / 2 PUERTOS 1000 MBPS UPLINK + 2 PUERTOS SFP DE UPLINK / POE HASTA 250 METROS / 225 WATTS | 4390.00 |
| Router Inalámbrico WISP 2.4GHz 300 Mbps | DS-3WR3N | ROUTER INALÁMBRICO WISP EN BANDA 2.4 GHZ / HASTA 300 MBPS / 4 PUERTOS 10/100 MBPS / 2 ANTENAS OMNIDIRECCIONAL DE 5 DBI / INTERIOR | 470.00 |
| Kit Alarma Vecinal PRO4GEN2 con Programación Web | PRO4GEN2-VECINAL | KIT ALARMA VECINAL CON FUNCION PROGRAMACIÓN 100% VÍA WEB | 6781.65 |
| Barrera Vehicular Derecha LED Alto Flujo 4m | WJCB120VF-IR34LED | BARRERA VEHICULAR DERECHA CON LED / ALTO FLUJO / MOTOR 24 VDC / BRAZO RECTANGULAR DE 4 METROS / VELOCIDAD 3 SEGUNDOS / DIRECCIÓN AJUSTABLE | 26819.00 |
| Barrera Vehicular Izquierda LED Alto Flujo 4m | WJCB120VF-IL34LED | BARRERA VEHICULAR IZQUIERDA CON LED / ALTO FLUJO / MOTOR 24 VDC / BRAZO RECTANGULAR DE 4 METROS / VELOCIDAD 3 SEGUNDOS / DIRECCIÓN AJUSTABLE | 19750.73 |
| Lector RFID UHF + Bluetooth Largo Alcance 6m | PRO6RFBLU | LECTOR RFID UHF + BLUETOOTH / LARGO ALCANCE 6 METROS / CLIMAS EXTREMOS / PROGRAMACIÓN DESDE ANDROID/IOS / WIEGAND | 6843.04 |
| Bobina Cable 2x18 AWG 305m para Control de Acceso | ACCESS-182 | BOBINA DE 305 METROS, CON 2 CABLES CALIBRE 18, FRPVC, CM, PARA APLICACIONES EN CONTROL DE ACCESO | 3880.00 |
| Punto de Acceso WiFi 5 Interior Discreto Ruijie | RG-RAP1200(F) | PUNTO DE ACCESO WI-FI 5, DOBLE BANDA DISEÑADO PARA INSTALACIONES DISCRETAS Y ESPACIOS REDUCIDOS, 802.11AC WAVE 2, ALTO RENDIMIENTO Y MIMO 2X2. | 1235.40 |
| Cerradura Inteligente WiFi Tipo Cerrojo Americano | CS-DL05-R100 | CERRADURA INTELIGENTE / CERROJO TIPO AMERICANO / WI-FI / BLUETOOTH / CÓDIGOS TEMPORALES PARA VISITANTES / LECTURA DE HUELLA / LECTURA DE TAG / CONTRASEÑA / BOTÓN PARA TIMBRAR / APERTURA REMOTA / NO REQUIERE HUB | 3371.60 |
| Servicio de Instalación de Cerradura Inteligente | SERVICERRAD | SERVICIOS PROFESIONALES DE INSTALACION DE CERRADURA AUTONOMA INTELIGENTE, INCLUYE ADAPTACION A PUERTA, PROGRAMACION, CAPACITACITACION Y HERRAMIENTAS. | 1500.00 |
| Condulet Serie 3 Tipo C 3/4" | C23 | CONDULET SERIE 3 TIPO C CON TAPA DE 19MM (3/4) CROUSE HINDS DOMEX | 89.61 |
| Tubo Termoretráctil 3/32" Negro | THE-3/8 VTA | TUBO TERMOTRACTIL 3/32 20 AWG 2MM NEGRO C5023 | 20.69 |
| Licencia BiotimeCloudPDev 1 Año (Biométrico) | ZKT0820128 | ZKTECO BIOTIMECLOUDPDEV - LICENCIA DE ASISTENCIA EN LA NUBE PARA LA ADMINISTRACIÓN DE UN BIOMÉTRICO / RENTA DE 1 AÑO | 569.31 |
| Licencia BiotimeCloudEmp 1 Año (Empleado) | ZKT0820127 | ZKTECO BIOTIMECLOUDEMP - LICENCIA DE ASISTENCIA EN LA NUBE PARA LA ADMINISTRACIÓN DE UN EMPLEADO / RENTA DE 1 AÑO | 98.00 |
| Licencia Hik-Connect Teams Control de Acceso 1 Puerta | HCT-ACCESO-1P | LICENCIA HIK-CONNECT TEAMS / CONTROL DE ACCESO Y ASISTENCIA / 1 PUERTA / PERSONAS ILIMITADAS / VITALICIA | 2575.57 |
| Cámara Bala TurboHD 2MP ColorVu 24/7 Policarbonato | B8-TURBO-PC/A | BALA TURBOHD 2 MEGAPÍXEL (1080P) / LENTE 2.8 MM / COLORVU / MICROFONO INTEGRADO / IMAGEN A COLOR 24/7 / POLICARBONATO / LUZ BLANCA 20 MTS / EXTERIOR IP66 / TVI-AHD-CVI-CVBS / DWDR | 886.55 |
| DVR 8 Canales TurboHD + 2 IP 1080p Lite AcuSense | DVR-208G-M1(C) | DVR 8 CANALES TURBOHD + 2 CANALES IP / 2 MEGAPÍXEL (1080P) LITE / ACUSENSE LITE (EVITA FALSAS ALARMAS) / AUDIO POR COAXITRON / 1 BAHÍA DE DISCO DURO / H.265+ / 1 CANAL DE AUDIO / SALIDA DE VÍDEO FULL HD | 2410.53 |
| Cámara Bala IP 8MP Inteligente 30m IR con Audio | DC-T4811WRX | BALA IP 8MP (INTELLIGENT CODEC), LENTE FIJO 3.3 MM, MICROSD (256 GB), IK10/ EXTERIOR IP67, IR 30 M, ENTRADA/SALIDA DE ALARMA, POE, AUDIO DE DOS VIAS, ICR DIA/NOCHE, VIDEOANALITICO EMBEBIDOS | 10670.00 |
| Cámara Bala IP 5MP con Puerto RJ45 Adicional | DCT4517WRXP | CAMARA BALA 5MP LENTE 4.3MM, PUERTO RJ45 ADICIONAL, WDR REAL, IK10, IP66 | 7007.13 |
| Cable de Alimentación Eléctrica 1.8m | AC-CORD-1.8M | CABLE DE ALIMENTACIÓN ELÉCTRICA PARA 120-240 VCA / 1. 8 METROS | 180.00 |
| Cámara Turret IP 2MP Dual Light AcuSense Lite | DS-2CD1323G2-LIU | [DUAL LIGHT] TURRET IP 2 MEGAPIXEL / LENTE 2.8 MM / 30 MTS IR + 30 MTS LUZ BLANCA / MICRÓFONO INTEGRADO / ACUSENSE LITE / EXTERIOR IP67 / H.265 / POE / ONVIF | 1736.07 |
| Poste Cónico Circular Metálico 4m | POSTE4 | POSTE CONICO CIRCULAR METALICO 4M SEPARACION 19CM FONDEADO | 6020.00 |
| Cámara Fisheye IP 6MP 180°-360° con Análisis | DS-2CD6365G1-IVS | FISHEYE IP 6 MEGAPIXEL / 180° - 360° / DEWARPING / HEAT MAP / HEOP 2.0 / CONTEO DE PERSONAS / IP67 / IK10 / 15 MTS IR / ENTRADA Y SALIDA DE AUDIO Y ALARMA / MÚLTIPLES VISTAS / MICRÓFONO INTEGRADO | 16165.50 |
| NVR 8 Canales 4K con Reconocimiento Facial 8 POE+ | DS-7608NXI-K1/8P(B) | NVR 12 MEGAPÍXEL (4K) / 8 CANALES IP / 8 PUERTOS POE+ / RECONOCIMIENTO FACIAL / ACUSENSE (EVITA FALSAS ALARMAS) / 1 BAHÍAS DE DISCO DURO / HDMI EN 4K / 300 METROS POE MODO EXTENDIDO | 5093.20 |
| Servicio de Monitoreo Adicional de una Partición de Alarma | S1PARTCION | SERVICIO DE MONITOREO ADICIONAL DE UNA PARTICION DE ALARMA | 70.00 |
| Lector IP de Huella y Proximidad Antivandálico Exterior | XT5 | LECTOR IP DE HUELLA Y PROXIMIDAD CON TECLADO ANTIVANDÁLICO PARA EXTERIOR / ADMINISTRACIÓN CON SOFTWARE O DE MANERA AUTÓNOMA (DIRECTO EN EL TECLADO) / RELEVADOR PARA CHAPA | 4290.00 |
| Cable de Fibra Óptica Multimodo OM3 6 Hilos por Metro | FOCRX06Y | CABLE DE FIBRA ÓPTICA DE 6 HILOS, MULTIMODO OM3 50/125 OPTIMIZADA, INTERIOR/EXTERIOR, LOOSE TUBE 250UM, NO CONDUCTIVA (DIELÉCTRICA), OFNR (RISER), PRECIO POR METRO | 104.00 |
| Cable de Parcheo CAT6 1.5m Azul | NK6PC5BUY | CABLE DE PARCHEO UTP CATEGORÍA 6, CON PLUG MODULAR EN CADA EXTREMO - 1.5 M. - AZUL | 169.00 |
| Cámara Turret IP 2MP Dual Light AcuSense Lite | DS-2CD1327G2H-LIUF | TURRET IP 2 MEGAPIXEL / LENTE 2.8 MM / 30 MTS IR + 30 MTS LUZ BLANCA / MICRÓFONO INTEGRADO / ACUSENSE LITE / EXTERIOR IP67 / WDR 120 DB / POE / MICRO SD / ONVIF | 2030.00 |
| Panel de Parcheo Modular Keystone 48 Puertos | NKFP48Y | PANEL DE PARCHEO MODULAR KEYSTONE (SIN CONECTORES), DE 48 PUERTOS, IDENTIFICACIÓN CON ETIQUETA ADHESIVA, 2UR | 2130.22 |
