| Nombre | Modelo | DESCRIPCION | PRECIO |
| Conmutador IP-PBX UCM-6202 | UCM-6202 | CONMUTADOR IP-PBX DE 2 PUERTOS FXO + 2 FXS, 30 LLAMADAS CONCURRENTES, 500 USUARIOS Y DOBLE PUERTO GIGABIT | 10700.00 |
| Control Remoto para PROR400 PROT400 | PROT400 | CONTROL REMOTO ADICIONAL PARA PROR400 | 178.07 |
| Control Remoto Inalámbrico XB-T23 | XB-T23 | CONTROL REMOTO INALÁMBRICO COMPATIBLE CON XBREC2 | 135.31 |
| Controlador de Acceso 4 Puertas APX-4000 | APX-4000 | CONTROLADOR DE ACCESO / 4 PUERTAS / BIOMETRÍA INTEGRADA / 3,000 HUELLAS / COMPATIBLE CON SISTEMAS DE ELEVADORES (10 PISOS) / INCLUYE GABINETE Y FUENTE DE ALIMENTACIÓN 12VCD/5A | 10235.00 |
| Controlador de Acceso 2 Puertas APX-2000 | APX-2000 | CONTROLADOR DE ACCESO PARA 2 PUERTAS / BIOMETRÍA INTEGRADA / 3,000 HUELLAS / INCLUYE GABINETE Y FUENTE DE ALIMENTACIÓN 12VCD/5A | 7914.00 |
| Memoria USB 32GB DHI-USB-U106-30-32GB | DHI-USB-U106-30-32GB | DAHUA DHI-USB-U106-30-32GB - MEMORIA USB DE 32 GB/ USB 3.0/ LECTURA Y ESCRITURA DE ALTA VELOCIDAD/ SISTEMA DE ARCHIVOS FAT32/ COMPATIBLE CON WINDOWS, MACOS, LINUX Y OTROS SISTEMAS/ | 180.00 |
| Detector de Movimiento Exterior DED | DED | DETECTOR DE MOVIMIENTO PARA EXTERIOR DOBLE ELEMENTO. DETECCIÓN INCLUSO EN CONDICIONES ADVERSAS. | 1680.00 |
| Detector Fotoeléctrico 60m SF60P | SF60P | DETECTOR DE RAYO FOTOELÉCTRICO / 2 RAYOS / 4 FRECUENCIAS / 60MTS EXTERIOR / ALIMENTACION 12-24 VDC/VAC | 1290.00 |
| Detector Fotoeléctrico con Mira 50m SFE50K | SFE50K | DETECTOR DE RAYO FOTOELÉCTRICO CON MIRA / 3 RAYOS / 4 FRECUENCIAS / 50MTS EXTERIOR / ALIMENTACIÓN 12-24 VCD | 1890.00 |
| Detector Fotoeléctrico Infrarrojo ACCESSPC01 | ACCESSPC01 | DETECTOR FOTOELECTRICO INFRAROJO / RELEVADOR NC/COM/NO, COMPATIBLE CON ACCESSFORCE Y FS100SPEED | 620.00 |
